year,indicator,name,category,group,value
2018,just_getting_by,darien,Total,Total,0.23232323232323235
2018,just_getting_by,darien,Gender,Male,0.2268041237113402
2018,just_getting_by,darien,Gender,Female,0.27272727272727276
2018,just_getting_by,derby,Total,Total,0.32323232323232326
2018,just_getting_by,derby,Gender,Male,0.26
2018,just_getting_by,derby,Gender,Female,0.38383838383838387
2018,just_getting_by,derby,Age,Under age 55,0.34
2018,just_getting_by,derby,Age,Age 55 or older,0.31313131313131315
2018,just_getting_by,derby,Education,Some college or less,0.36
2018,just_getting_by,derby,Education,Bachelor's or higher,0.26262626262626265
2018,just_getting_by,east_hartford,Total,Total,0.44
2018,just_getting_by,east_haven,Total,Total,0.32323232323232326
2018,just_getting_by,east_haven,Gender,Male,0.33673469387755106
2018,just_getting_by,east_haven,Gender,Female,0.29
2018,just_getting_by,east_haven,Age,Under age 55,0.3979591836734694
2018,just_getting_by,east_haven,Age,Age 55 or older,0.21
2018,just_getting_by,east_haven,Education,High school or less,0.38
2018,just_getting_by,east_haven,Education,Some college or higher,0.28
2018,just_getting_by,east_haven,Income,<$75K,0.38
2018,just_getting_by,east_haven,Income,$75K+,0.31999999999999995
2018,just_getting_by,ehhd,Total,Total,0.31
2018,just_getting_by,ehhd,Gender,Male,0.28
2018,just_getting_by,ehhd,Gender,Female,0.33333333333333337
2018,just_getting_by,ehhd,Age,Under age 55,0.36
2018,just_getting_by,ehhd,Age,Age 55 or older,0.18181818181818182
2018,just_getting_by,ehhd,Education,Some college or less,0.3535353535353536
2018,just_getting_by,ehhd,Education,Bachelor's or higher,0.24
2018,just_getting_by,ehhd,Income,<$75K,0.43
2018,just_getting_by,ehhd,Income,$75K+,0.19
2018,just_getting_by,ehhd,With children,No children,0.27
2018,just_getting_by,ehhd,With children,Children in household,0.36
2018,just_getting_by,fairfield,Total,Total,0.24489795918367346
2018,just_getting_by,fairfield,Gender,Male,0.22999999999999998
2018,just_getting_by,fairfield,Gender,Female,0.25510204081632654
2018,just_getting_by,fairfield,Age,Under age 55,0.3163265306122449
2018,just_getting_by,fairfield,Age,Age 55 or older,0.15
2018,just_getting_by,fairfield,Education,Some college or less,0.3195876288659794
2018,just_getting_by,fairfield,Education,Bachelor's or higher,0.20202020202020204
2018,just_getting_by,fairfield,Income,<$75K,0.4489795918367347
2018,just_getting_by,fairfield,Income,$75K+,0.18
2018,just_getting_by,fairfield,With children,No children,0.23232323232323235
2018,just_getting_by,fairfield,With children,Children in household,0.2828282828282829
2018,just_getting_by,fairfield_county,Total,Total,0.30303030303030304
2018,just_getting_by,fairfield_county,Gender,Male,0.2828282828282828
2018,just_getting_by,fairfield_county,Gender,Female,0.32
2018,just_getting_by,fairfield_county,Age,Ages 18-34,0.39
2018,just_getting_by,fairfield_county,Age,Ages 35-49,0.32
2018,just_getting_by,fairfield_county,Age,Ages 50-64,0.3
2018,just_getting_by,fairfield_county,Age,Ages 65+,0.16999999999999998
2018,just_getting_by,fairfield_county,Education,Bachelor's or higher,0.22222222222222224
2018,just_getting_by,fairfield_county,Education,High school or less,0.43000000000000005
2018,just_getting_by,fairfield_county,Education,Some college or Associate's,0.393939393939394
2018,just_getting_by,fairfield_county,Income,<$15K,0.66
2018,just_getting_by,fairfield_county,Income,$15K-$30K,0.6
2018,just_getting_by,fairfield_county,Income,$30K-$50K,0.45999999999999996
2018,just_getting_by,fairfield_county,Income,$50K-$75K,0.37
2018,just_getting_by,fairfield_county,Income,$75K-$100K,0.24000000000000002
2018,just_getting_by,fairfield_county,Income,$100K-$200K,0.18
2018,just_getting_by,fairfield_county,Income,$200K+,0.06
2018,just_getting_by,fairfield_county,Race/Ethnicity,White,0.26262626262626265
2018,just_getting_by,fairfield_county,Race/Ethnicity,Black,0.47
2018,just_getting_by,fairfield_county,Race/Ethnicity,Latino,0.39
2018,just_getting_by,fairfield_county,With children,No children,0.28
2018,just_getting_by,fairfield_county,With children,Children in household,0.33333333333333337
2018,just_getting_by,fcht,Total,Total,0.25000000000000006
2018,just_getting_by,fcht,Gender,Male,0.18085106382978722
2018,just_getting_by,fcht,Gender,Female,0.326530612244898
2018,just_getting_by,fcht,Age,Under age 55,0.3578947368421053
2018,just_getting_by,fcht,Age,Age 55 or older,0.17525773195876287
2018,just_getting_by,fcht,Education,Some college or less,0.28125000000000006
2018,just_getting_by,fcht,Education,Bachelor's or higher,0.2268041237113402
2018,just_getting_by,fcht,Income,<$75K,0.4270833333333333
2018,just_getting_by,fcht,Income,$75K+,0.12000000000000001
2018,just_getting_by,greater_bridgeport,Total,Total,0.4
2018,just_getting_by,greater_bridgeport,Gender,Male,0.4
2018,just_getting_by,greater_bridgeport,Gender,Female,0.4
2018,just_getting_by,greater_bridgeport,Age,Ages 18-34,0.52
2018,just_getting_by,greater_bridgeport,Age,Ages 35-49,0.42000000000000004
2018,just_getting_by,greater_bridgeport,Age,Ages 50-64,0.37
2018,just_getting_by,greater_bridgeport,Age,Ages 65+,0.25
2018,just_getting_by,greater_bridgeport,Education,Bachelor's or higher,0.3
2018,just_getting_by,greater_bridgeport,Education,High school or less,0.5
2018,just_getting_by,greater_bridgeport,Education,Some college or Associate's,0.4545454545454546
2018,just_getting_by,greater_bridgeport,Income,<$15K,0.7
2018,just_getting_by,greater_bridgeport,Income,$15K-$30K,0.6464646464646465
2018,just_getting_by,greater_bridgeport,Income,$30K-$50K,0.51
2018,just_getting_by,greater_bridgeport,Income,$50K-$75K,0.4
2018,just_getting_by,greater_bridgeport,Income,$75K-$100K,0.24
2018,just_getting_by,greater_bridgeport,Income,$100K-$200K,0.24000000000000002
2018,just_getting_by,greater_bridgeport,Income,$200K+,0.08
2018,just_getting_by,greater_bridgeport,Race/Ethnicity,White,0.32
2018,just_getting_by,greater_bridgeport,Race/Ethnicity,Black,0.53
2018,just_getting_by,greater_bridgeport,Race/Ethnicity,Latino,0.48
2018,just_getting_by,greater_bridgeport,With children,No children,0.39
2018,just_getting_by,greater_bridgeport,With children,Children in household,0.43
2018,just_getting_by,greater_danbury,Total,Total,0.25
2018,just_getting_by,greater_danbury,Gender,Male,0.22222222222222224
2018,just_getting_by,greater_danbury,Gender,Female,0.29000000000000004
2018,just_getting_by,greater_danbury,Age,Ages 18-34,0.31
2018,just_getting_by,greater_danbury,Age,Ages 35-49,0.31
2018,just_getting_by,greater_danbury,Age,Ages 50-64,0.27999999999999997
2018,just_getting_by,greater_danbury,Age,Ages 65+,0.13
2018,just_getting_by,greater_danbury,Education,Bachelor's or higher,0.18000000000000002
2018,just_getting_by,greater_danbury,Education,High school or less,0.393939393939394
2018,just_getting_by,greater_danbury,Education,Some college or Associate's,0.31
2018,just_getting_by,greater_danbury,Income,<$30K,0.5900000000000001
2018,just_getting_by,greater_danbury,Income,$30K-$50K,0.44
2018,just_getting_by,greater_danbury,Income,$50K-$75K,0.33
2018,just_getting_by,greater_danbury,Income,$75K-$100K,0.24000000000000002
2018,just_getting_by,greater_danbury,Income,$100K-$200K,0.16999999999999998
2018,just_getting_by,greater_danbury,Income,$200K+,0.04
2018,just_getting_by,greater_danbury,Race/Ethnicity,White,0.25
2018,just_getting_by,greater_danbury,Race/Ethnicity,Not white,0.3
2018,just_getting_by,greater_danbury,With children,No children,0.25
2018,just_getting_by,greater_danbury,With children,Children in household,0.28
2018,just_getting_by,greater_greenwich,Total,Total,0.24242424242424243
2018,just_getting_by,greater_greenwich,Gender,Male,0.22222222222222224
2018,just_getting_by,greater_greenwich,Gender,Female,0.24489795918367346
2018,just_getting_by,greater_greenwich,Age,Ages 18-34,0.29000000000000004
2018,just_getting_by,greater_greenwich,Age,Ages 35-49,0.25252525252525254
2018,just_getting_by,greater_greenwich,Age,Ages 50-64,0.24242424242424243
2018,just_getting_by,greater_greenwich,Age,Ages 65+,0.1836734693877551
2018,just_getting_by,greater_greenwich,Education,Bachelor's or higher,0.17346938775510204
2018,just_getting_by,greater_greenwich,Education,High school or less,0.32323232323232326
2018,just_getting_by,greater_greenwich,Education,Some college or Associate's,0.35353535353535354
2018,just_getting_by,greater_greenwich,Income,$75K+,0.16
2018,just_getting_by,greater_greenwich,Income,<$30K,0.52
2018,just_getting_by,greater_greenwich,Income,$30K-$75K,0.31
2018,just_getting_by,greater_greenwich,Race/Ethnicity,White,0.19191919191919193
2018,just_getting_by,greater_greenwich,Race/Ethnicity,Black,0.42424242424242425
2018,just_getting_by,greater_greenwich,Race/Ethnicity,Latino,0.30000000000000004
2018,just_getting_by,greater_greenwich,With children,No children,0.22222222222222227
2018,just_getting_by,greater_greenwich,With children,Children in household,0.2755102040816327
2018,just_getting_by,greater_hartford,Total,Total,0.33
2018,just_getting_by,greater_hartford,Gender,Male,0.27272727272727276
2018,just_getting_by,greater_hartford,Gender,Female,0.37
2018,just_getting_by,greater_hartford,Age,Ages 18-34,0.43000000000000005
2018,just_getting_by,greater_hartford,Age,Ages 35-49,0.37
2018,just_getting_by,greater_hartford,Age,Ages 50-64,0.29000000000000004
2018,just_getting_by,greater_hartford,Age,Ages 65+,0.19191919191919193
2018,just_getting_by,greater_hartford,Education,Bachelor's or higher,0.23
2018,just_getting_by,greater_hartford,Education,High school or less,0.47
2018,just_getting_by,greater_hartford,Education,Some college or Associate's,0.37373737373737376
2018,just_getting_by,greater_hartford,Income,<$15K,0.66
2018,just_getting_by,greater_hartford,Income,$15K-$30K,0.5599999999999999
2018,just_getting_by,greater_hartford,Income,$30K-$50K,0.4747474747474748
2018,just_getting_by,greater_hartford,Income,$50K-$75K,0.38
2018,just_getting_by,greater_hartford,Income,$75K-$100K,0.25
2018,just_getting_by,greater_hartford,Income,$100K-$200K,0.13
2018,just_getting_by,greater_hartford,Income,$200K+,0.030612244897959183
2018,just_getting_by,greater_hartford,Race/Ethnicity,White,0.27999999999999997
2018,just_getting_by,greater_hartford,Race/Ethnicity,Black,0.53
2018,just_getting_by,greater_hartford,Race/Ethnicity,Latino,0.45
2018,just_getting_by,greater_hartford,With children,No children,0.29292929292929293
2018,just_getting_by,greater_hartford,With children,Children in household,0.38
2018,just_getting_by,greater_new_haven,Total,Total,0.33999999999999997
2018,just_getting_by,greater_new_haven,Gender,Male,0.29292929292929293
2018,just_getting_by,greater_new_haven,Gender,Female,0.38
2018,just_getting_by,greater_new_haven,Age,Ages 18-34,0.42000000000000004
2018,just_getting_by,greater_new_haven,Age,Ages 35-49,0.41
2018,just_getting_by,greater_new_haven,Age,Ages 50-64,0.32323232323232326
2018,just_getting_by,greater_new_haven,Age,Ages 65+,0.21
2018,just_getting_by,greater_new_haven,Education,Bachelor's or higher,0.23
2018,just_getting_by,greater_new_haven,Education,High school or less,0.45
2018,just_getting_by,greater_new_haven,Education,Some college or Associate's,0.42000000000000004
2018,just_getting_by,greater_new_haven,Income,<$15K,0.6
2018,just_getting_by,greater_new_haven,Income,$15K-$30K,0.6
2018,just_getting_by,greater_new_haven,Income,$30K-$50K,0.47
2018,just_getting_by,greater_new_haven,Income,$50K-$75K,0.32
2018,just_getting_by,greater_new_haven,Income,$75K-$100K,0.26
2018,just_getting_by,greater_new_haven,Income,$100K-$200K,0.15
2018,just_getting_by,greater_new_haven,Income,$200K+,0.08
2018,just_getting_by,greater_new_haven,Race/Ethnicity,White,0.32
2018,just_getting_by,greater_new_haven,Race/Ethnicity,Black,0.42000000000000004
2018,just_getting_by,greater_new_haven,Race/Ethnicity,Latino,0.4747474747474748
2018,just_getting_by,greater_new_haven,With children,No children,0.32323232323232326
2018,just_getting_by,greater_new_haven,With children,Children in household,0.39
2018,just_getting_by,greater_new_london,Total,Total,0.33
2018,just_getting_by,greater_new_london,Gender,Male,0.2828282828282829
2018,just_getting_by,greater_new_london,Gender,Female,0.38
2018,just_getting_by,greater_new_london,Age,Ages 18-34,0.47474747474747475
2018,just_getting_by,greater_new_london,Age,Ages 35-49,0.42000000000000004
2018,just_getting_by,greater_new_london,Age,Ages 50-64,0.3
2018,just_getting_by,greater_new_london,Age,Ages 65+,0.14141414141414144
2018,just_getting_by,greater_new_london,Education,Bachelor's or higher,0.25
2018,just_getting_by,greater_new_london,Education,High school or less,0.4183673469387755
2018,just_getting_by,greater_new_london,Education,Some college or Associate's,0.4
2018,just_getting_by,greater_new_london,Income,$75K+,0.13
2018,just_getting_by,greater_new_london,Income,<$30K,0.6122448979591838
2018,just_getting_by,greater_new_london,Income,$30K-$75K,0.48
2018,just_getting_by,greater_new_london,Race/Ethnicity,White,0.28
2018,just_getting_by,greater_new_london,Race/Ethnicity,Not white,0.5102040816326531
2018,just_getting_by,greater_new_london,With children,No children,0.292929292929293
2018,just_getting_by,greater_new_london,With children,Children in household,0.43434343434343436
2018,just_getting_by,greater_waterbury,Total,Total,0.36363636363636365
2018,just_getting_by,greater_waterbury,Gender,Male,0.29000000000000004
2018,just_getting_by,greater_waterbury,Gender,Female,0.4141414141414142
2018,just_getting_by,greater_waterbury,Age,Ages 18-34,0.43000000000000005
2018,just_getting_by,greater_waterbury,Age,Ages 35-49,0.42
2018,just_getting_by,greater_waterbury,Age,Ages 50-64,0.35714285714285715
2018,just_getting_by,greater_waterbury,Age,Ages 65+,0.23232323232323235
2018,just_getting_by,greater_waterbury,Education,Bachelor's or higher,0.25
2018,just_getting_by,greater_waterbury,Education,High school or less,0.4444444444444445
2018,just_getting_by,greater_waterbury,Education,Some college or Associate's,0.4242424242424243
2018,just_getting_by,greater_waterbury,Income,<$15K,0.69
2018,just_getting_by,greater_waterbury,Income,$15K-$30K,0.6363636363636364
2018,just_getting_by,greater_waterbury,Income,$30K-$50K,0.45999999999999996
2018,just_getting_by,greater_waterbury,Income,$50K-$75K,0.37
2018,just_getting_by,greater_waterbury,Income,$75K-$100K,0.24000000000000002
2018,just_getting_by,greater_waterbury,Income,$100K-$200K,0.18
2018,just_getting_by,greater_waterbury,Income,$200K+,0.08
2018,just_getting_by,greater_waterbury,Race/Ethnicity,White,0.33999999999999997
2018,just_getting_by,greater_waterbury,Race/Ethnicity,Black,0.44
2018,just_getting_by,greater_waterbury,Race/Ethnicity,Latino,0.4
2018,just_getting_by,greater_waterbury,With children,No children,0.3434343434343434
2018,just_getting_by,greater_waterbury,With children,Children in household,0.4
2018,just_getting_by,greenwich,Total,Total,0.20202020202020204
2018,just_getting_by,greenwich,Gender,Male,0.19191919191919193
2018,just_getting_by,greenwich,Gender,Female,0.19387755102040816
2018,just_getting_by,greenwich,Age,Ages 18-34,0.3
2018,just_getting_by,greenwich,Age,Ages 35-54,0.21212121212121215
2018,just_getting_by,greenwich,Age,Ages 55+,0.1326530612244898
2018,just_getting_by,greenwich,Income,<$75K,0.31
2018,just_getting_by,greenwich,Income,$75K+,0.14
2018,just_getting_by,greenwich,Race/Ethnicity,White,0.17346938775510204
2018,just_getting_by,greenwich,Race/Ethnicity,Not white,0.23
2018,just_getting_by,greenwich,With children,No children,0.1717171717171717
2018,just_getting_by,greenwich,With children,Children in household,0.21
2018,just_getting_by,groton,Total,Total,0.4
2018,just_getting_by,groton,Gender,Male,0.33
2018,just_getting_by,groton,Gender,Female,0.47000000000000003
2018,just_getting_by,groton,Age,Under age 55,0.48
2018,just_getting_by,groton,Age,Age 55 or older,0.22999999999999998
2018,just_getting_by,groton,Education,Some college or less,0.5599999999999999
2018,just_getting_by,groton,Education,Bachelor's or higher,0.22999999999999998
2018,just_getting_by,groton,Income,<$75K,0.54
2018,just_getting_by,groton,Income,$75K+,0.16999999999999998
2018,just_getting_by,hamden,Total,Total,0.32323232323232326
2018,just_getting_by,hamden,Gender,Male,0.3030303030303031
2018,just_getting_by,hamden,Gender,Female,0.35353535353535354
2018,just_getting_by,hamden,Age,Under age 55,0.393939393939394
2018,just_getting_by,hamden,Age,Age 55 or older,0.22222222222222227
2018,just_getting_by,hamden,Education,Bachelor's or higher,0.22
2018,just_getting_by,hamden,Education,High school or less,0.3814432989690722
2018,just_getting_by,hamden,Education,Some college or Associate's,0.45
2018,just_getting_by,hamden,Income,<$75K,0.39
2018,just_getting_by,hamden,Income,$75K+,0.24
2018,just_getting_by,hamden,Race/Ethnicity,White,0.33
2018,just_getting_by,hamden,Race/Ethnicity,Not white,0.33333333333333337
2018,just_getting_by,hamden,With children,No children,0.3163265306122449
2018,just_getting_by,hamden,With children,Children in household,0.35
2018,just_getting_by,hartford,Total,Total,0.49
2018,just_getting_by,hartford,Gender,Male,0.5
2018,just_getting_by,hartford,Gender,Female,0.494949494949495
2018,just_getting_by,hartford,Age,Ages 18-34,0.54
2018,just_getting_by,hartford,Age,Ages 35-49,0.5
2018,just_getting_by,hartford,Age,Ages 50-64,0.5757575757575758
2018,just_getting_by,hartford,Age,Ages 65+,0.3535353535353536
2018,just_getting_by,hartford,Education,Bachelor's or higher,0.31313131313131315
2018,just_getting_by,hartford,Education,High school or less,0.59
2018,just_getting_by,hartford,Education,Some college or Associate's,0.5555555555555556
2018,just_getting_by,hartford,Income,$75K+,0.18
2018,just_getting_by,hartford,Income,<$30K,0.6464646464646465
2018,just_getting_by,hartford,Income,$30K-$75K,0.51
2018,just_getting_by,hartford,Race/Ethnicity,White,0.32323232323232326
2018,just_getting_by,hartford,Race/Ethnicity,Black,0.58
2018,just_getting_by,hartford,Race/Ethnicity,Latino,0.5499999999999999
2018,just_getting_by,hartford,With children,No children,0.47474747474747475
2018,just_getting_by,hartford,With children,Children in household,0.54
2018,just_getting_by,hartford_inner_ring,Total,Total,0.36363636363636365
2018,just_getting_by,hartford_inner_ring,Gender,Male,0.30303030303030304
2018,just_getting_by,hartford_inner_ring,Gender,Female,0.45
2018,just_getting_by,hartford_inner_ring,Age,Ages 18-34,0.46464646464646464
2018,just_getting_by,hartford_inner_ring,Age,Ages 35-49,0.41000000000000003
2018,just_getting_by,hartford_inner_ring,Age,Ages 50-64,0.35
2018,just_getting_by,hartford_inner_ring,Age,Ages 65+,0.23232323232323232
2018,just_getting_by,hartford_inner_ring,Education,Bachelor's or higher,0.29
2018,just_getting_by,hartford_inner_ring,Education,High school or less,0.49
2018,just_getting_by,hartford_inner_ring,Education,Some college or Associate's,0.3979591836734694
2018,just_getting_by,hartford_inner_ring,Income,<$15K,0.75
2018,just_getting_by,hartford_inner_ring,Income,$15K-$30K,0.5900000000000001
2018,just_getting_by,hartford_inner_ring,Income,$30K-$50K,0.5102040816326531
2018,just_getting_by,hartford_inner_ring,Income,$50K-$75K,0.35
2018,just_getting_by,hartford_inner_ring,Income,$75K-$100K,0.33
2018,just_getting_by,hartford_inner_ring,Income,$100K+,0.15
2018,just_getting_by,hartford_inner_ring,Race/Ethnicity,White,0.35353535353535354
2018,just_getting_by,hartford_inner_ring,Race/Ethnicity,Black,0.5353535353535354
2018,just_getting_by,hartford_inner_ring,Race/Ethnicity,Latino,0.4040404040404041
2018,just_getting_by,hartford_inner_ring,With children,No children,0.33333333333333337
2018,just_getting_by,hartford_inner_ring,With children,Children in household,0.45
2018,just_getting_by,hartford_outer_ring,Total,Total,0.19999999999999998
2018,just_getting_by,hartford_outer_ring,Gender,Male,0.18000000000000002
2018,just_getting_by,hartford_outer_ring,Gender,Female,0.21
2018,just_getting_by,hartford_outer_ring,Age,Ages 18-34,0.38
2018,just_getting_by,hartford_outer_ring,Age,Ages 35-49,0.2
2018,just_getting_by,hartford_outer_ring,Age,Ages 50-64,0.16999999999999998
2018,just_getting_by,hartford_outer_ring,Age,Ages 65+,0.1
2018,just_getting_by,hartford_outer_ring,Education,Bachelor's or higher,0.17
2018,just_getting_by,hartford_outer_ring,Education,High school or less,0.28
2018,just_getting_by,hartford_outer_ring,Education,Some college or Associate's,0.22
2018,just_getting_by,hartford_outer_ring,Income,$75K+,0.11
2018,just_getting_by,hartford_outer_ring,Income,<$30K,0.43
2018,just_getting_by,hartford_outer_ring,Income,$30K-$75K,0.34
2018,just_getting_by,hartford_outer_ring,Race/Ethnicity,White,0.2
2018,just_getting_by,hartford_outer_ring,Race/Ethnicity,Not white,0.25
2018,just_getting_by,hartford_outer_ring,With children,No children,0.19
2018,just_getting_by,hartford_outer_ring,With children,Children in household,0.21
2018,just_getting_by,litchfield_county,Total,Total,0.33333333333333337
2018,just_getting_by,litchfield_county,Gender,Male,0.27272727272727276
2018,just_getting_by,litchfield_county,Gender,Female,0.39
2018,just_getting_by,litchfield_county,Age,Ages 18-34,0.38
2018,just_getting_by,litchfield_county,Age,Ages 35-49,0.45918367346938777
2018,just_getting_by,litchfield_county,Age,Ages 50-64,0.3
2018,just_getting_by,litchfield_county,Age,Ages 65+,0.24242424242424243
2018,just_getting_by,litchfield_county,Education,Bachelor's or higher,0.24242424242424243
2018,just_getting_by,litchfield_county,Education,High school or less,0.37755102040816324
2018,just_getting_by,litchfield_county,Education,Some college or Associate's,0.43
2018,just_getting_by,litchfield_county,Income,$75K+,0.2
2018,just_getting_by,litchfield_county,Income,<$30K,0.595959595959596
2018,just_getting_by,litchfield_county,Income,$30K-$75K,0.42424242424242425
2018,just_getting_by,litchfield_county,Race/Ethnicity,White,0.33333333333333337
2018,just_getting_by,litchfield_county,Race/Ethnicity,Not white,0.30303030303030304
2018,just_getting_by,litchfield_county,With children,No children,0.30303030303030304
2018,just_getting_by,litchfield_county,With children,Children in household,0.4
